date,inflation
1/1/2014,8.6
2/1/2014,7.9
3/1/2014,8.2
4/1/2014,8.5
5/1/2014,8.3
6/1/2014,6.8
7/1/2014,7.4
8/1/2014,7
9/1/2014,5.6
10/1/2014,4.6
11/1/2014,3.3
12/1/2014,4.3
1/1/2015,5.2
2/1/2015,5.4
3/1/2015,5.3
4/1/2015,4.9
5/1/2015,5
6/1/2015,5.4
7/1/2015,3.7
8/1/2015,3.7
9/1/2015,4.4
10/1/2015,5
11/1/2015,5.4
12/1/2015,5.6
1/1/2016,5.7
2/1/2016,5.3
3/1/2016,4.8
4/1/2016,5.5
5/1/2016,5.8
6/1/2016,5.8
7/1/2016,6.1
8/1/2016,5
9/1/2016,4.4
10/1/2016,4.2
11/1/2016,3.6
12/1/2016,3.4
1/1/2017,3.2
2/1/2017,3.7
3/1/2017,3.9
4/1/2017,3
5/1/2017,2.2
6/1/2017,1.5
7/1/2017,2.4
8/1/2017,3.3
9/1/2017,3.3
10/1/2017,3.6
11/1/2017,4.9
12/1/2017,5.2
1/1/2018,5.1
2/1/2018,4.4
3/1/2018,4.3
4/1/2018,4.6
5/1/2018,4.9
6/1/2018,4.9
7/1/2018,4.2
8/1/2018,3.7
9/1/2018,3.7
10/1/2018,3.4
11/1/2018,2.3
12/1/2018,2.1
1/1/2019,2
2/1/2019,2.6
3/1/2019,2.9
4/1/2019,3
5/1/2019,3
6/1/2019,3.2
7/1/2019,3.1
8/1/2019,3.3
9/1/2019,4
10/1/2019,4.6
11/1/2019,5.5
12/1/2019,7.4
1/1/2020,7.6
2/1/2020,6.6
3/1/2020,5.8
4/1/2020,7.2
5/1/2020,6.3
6/1/2020,6.2
7/1/2020,6.7
8/1/2020,6.7
9/1/2020,7.3
10/1/2020,7.6
11/1/2020,6.9
12/1/2020,4.6
1/1/2021,4.1
2/1/2021,5
3/1/2021,5.5
4/1/2021,4.2
5/1/2021,6.3
6/1/2021,6.3
7/1/2021,5.6
8/1/2021,5.3
9/1/2021,4.3
10/1/2021,4.5
11/1/2021,4.9
12/1/2021,5.7
1/1/2022,6
2/1/2022,6.1
3/1/2022,7
4/1/2022,7.8
5/1/2022,7
6/1/2022,7
7/1/2022,6.7
8/1/2022,7
9/1/2022,7.4
10/1/2022,6.8
11/1/2022,5.9
12/1/2022,5.7
